DATE,U6UNEM6AR
2003-10-01,10.6
2004-01-01,10.7
2004-04-01,10.5
2004-07-01,10.4
2004-10-01,10.3
2005-01-01,10.5
2005-04-01,9.8
2005-07-01,9.5
2005-10-01,9.1
2006-01-01,8.7
2006-04-01,8.9
2006-07-01,9.0
2006-10-01,9.1
2007-01-01,9.1
2007-04-01,9.2
2007-07-01,9.4
2007-10-01,9.5
2008-01-01,9.5
2008-04-01,9.5
2008-07-01,9.2
2008-10-01,10.2
2009-01-01,11.7
2009-04-01,13.0
2009-07-01,14.1
2009-10-01,14.6
2010-01-01,14.7
2010-04-01,14.3
2010-07-01,14.6
2010-10-01,14.5
2011-01-01,13.8
2011-04-01,14.4
2011-07-01,14.3
2011-10-01,14.1
2012-01-01,14.2
2012-04-01,13.4
2012-07-01,13.1
2012-10-01,13.0
2013-01-01,13.4
2013-04-01,13.6
2013-07-01,13.5
2013-10-01,13.7
2014-01-01,12.8
2014-04-01,12.0
2014-07-01,11.2
2014-10-01,10.2
2015-01-01,9.9
2015-04-01,10.1
2015-07-01,10.0
2015-10-01,9.5
2016-01-01,9.0
2016-04-01,8.4
2016-07-01,7.8
2016-10-01,7.5
2017-01-01,7.2
2017-04-01,6.8
2017-07-01,6.9
2017-10-01,7.1
